SN,ItemName,Spec,LSL,tValue,USL,ElapsedTime,StartTime,Result
1561615,CheckEeroTest,--,--,--,--,132807,2021-12-07 16:02:00.009193,Pass
1561615,Checkroute,--,--,--,--,111887,2021-12-07 16:02:00.152978,Pass
1561615,CheckEeroABA,--,--,--,--,107622,2021-12-07 16:02:00.266856,Pass
1561615,VERIFYSFIS,--,--,--,--,108436,2021-12-07 16:02:00.375471,Pass
1561615,AT+TESTSTART%,--,--,--,--,103728,2021-12-07 16:02:00.488896,Pass
1561615,DUT_PING,--,--,--,--,108587,2021-12-07 16:02:00.592624,Pass
1561615,DUT_TELNET,--,--,--,--,106268,2021-12-07 16:02:00.704199,Pass
1561615,VeritfyDUTMAC,--,--,--,--,109187,2021-12-07 16:02:00.811467,Pass
1561615,DUT_OK,1561615,--,--,--,107778,2021-12-07 16:02:00.922648,Pass
1561615,TEMP_BOOT,--,--,--,63,107712,2021-12-07 16:02:01.032413,Pass
1561615,LED_MODEL,lp5562,--,--,--,106034,2021-12-07 16:02:01.142122,Pass
1561615,PHY_STATUS,--,--,--,--,107358,2021-12-07 16:02:01.249158,Pass
1561615,MMC_MODEL,4FTE4R|M62704|S40004,--,--,--,103646,2021-12-07 16:02:01.358510,Pass
1561615,FUSB_STATUS,--,--,--,--,107976,2021-12-07 16:02:01.463122,Pass
1561615,REPORT_CHILD,--,--,--,--,117182,2021-12-07 16:02:01.577079,Pass
1561615, Install driver,--,--,--,--,107652,2021-12-07 16:02:01.697250,Pass
1561615, Install driver,--,--,--,--,106847,2021-12-07 16:02:01.805897,Pass
1561615, Install driver,--,--,--,--,107646,2021-12-07 16:02:01.914739,Pass
1561615,LOAD_BZT,--,--,--,--,108299,2021-12-07 16:02:02.023384,Pass
189416,CheckEeroTest,--,--,--,--,106655,2021-12-07 16:48:52.051167,Pass
189416,Checkroute,--,--,--,--,113260,2021-12-07 16:48:52.168798,Pass
189416,CheckEeroABA,--,--,--,--,106711,2021-12-07 16:48:52.284047,Pass
189416,VERIFYSFIS,--,--,--,--,106950,2021-12-07 16:48:52.391757,Pass
189416,AT+TESTSTART%,--,--,--,--,107527,2021-12-07 16:48:52.502693,Pass
189416,DUT_PING,--,--,--,--,108551,2021-12-07 16:48:52.611217,Pass
189416,DUT_TELNET,--,--,--,--,103258,2021-12-07 16:48:52.724755,Pass
189416,VeritfyDUTMAC,--,--,--,--,107723,2021-12-07 16:48:52.832010,Pass
189416,DUT_OK,189416,--,--,--,107289,2021-12-07 16:48:52.940733,Pass
189416,TEMP_BOOT,--,--,--,63,118683,2021-12-07 16:48:53.054016,Pass
189416,LED_MODEL,lp5562,--,--,--,115973,2021-12-07 16:48:53.177686,Pass
189416,PHY_STATUS,--,--,--,--,111025,2021-12-07 16:48:53.293659,Pass
189416,MMC_MODEL,4FTE4R|M62704|S40004,--,--,--,107939,2021-12-07 16:48:53.404684,Pass
189416,FUSB_STATUS,--,--,--,--,109183,2021-12-07 16:48:53.513621,Pass
189416,REPORT_CHILD,--,--,--,--,103740,2021-12-07 16:48:53.627774,Pass
189416, Install driver,--,--,--,--,109937,2021-12-07 16:48:53.733533,Pass
189416, Install driver,--,--,--,--,108162,2021-12-07 16:48:53.844467,Pass
189416, Install driver,--,--,--,--,107013,2021-12-07 16:48:53.953621,Pass
189416,LOAD_BZT,--,--,--,--,105669,2021-12-07 16:48:54.062631,Pass
1561115,CheckEeroTest,--,--,--,--,117823,2021-12-08 11:54:30.254839,Pass
1561115,Checkroute,--,--,--,--,105596,2021-12-08 11:54:30.378651,Pass
1561115,CheckEeroABA,--,--,--,--,109977,2021-12-08 11:54:30.485244,Pass
1561115,VERIFYSFIS,--,--,--,--,106660,2021-12-08 11:54:30.597215,Pass
1561115,AT+TESTSTART%,--,--,--,--,107066,2021-12-08 11:54:30.705868,Pass
1561115,DUT_PING,--,--,--,--,108383,2021-12-08 11:54:30.814925,Pass
1561115,DUT_TELNET,--,--,--,--,107178,2021-12-08 11:54:30.926268,Pass
1561115,VeritfyDUTMAC,--,--,--,--,117339,2021-12-08 11:54:31.038433,Pass
1561115,DUT_OK,1561115,--,--,--,108416,2021-12-08 11:54:31.157766,Pass
1561115,TEMP_BOOT,--,--,--,63,116609,2021-12-08 11:54:31.271185,Pass
1561115,LED_MODEL,lp5562,--,--,--,104933,2021-12-08 11:54:31.391786,Pass
1561115,PHY_STATUS,--,--,--,--,109060,2021-12-08 11:54:31.498704,Pass
1561115,MMC_MODEL,4FTE4R|M62704|S40004,--,--,--,108705,2021-12-08 11:54:31.607764,Pass
1561115,FUSB_STATUS,--,--,--,--,105481,2021-12-08 11:54:31.718463,Pass
1561115,REPORT_CHILD,--,--,--,--,109514,2021-12-08 11:54:31.825942,Pass
1561115, Install driver,--,--,--,--,104260,2021-12-08 11:54:31.939444,Pass
1561115, Install driver,--,--,--,--,108483,2021-12-08 11:54:32.044702,Pass
